,,Values
CSC478,Course Description,"Introduction; Image Sensing and Acquisition; Some Basic Gray Level Transformations for Image Enhancement.; Image Contrast Enhancement Using Histogram Processing; Image Smoothing Using Spatial Filters; Image Sharpening Using Spatial Filters; Point, Line and Edge Detection; Basic image compression procedures; Basic Global and Adaptive Thresholding for Image Segmentation; Optimal Global and Adaptive Thresholding for Image Segmentation; Region-Based Image Segmentation and Edge-Based Segmentation; Image Restoration in the Presence of Noise-Spatial Filtering; Image Enhancement in Frequency Domain; Objects Representation and Description; introduction to Object Recognition."
CSC478,Prerequisite,CSC 212 - Data Structures.
CSC478,Textbook,"Rafael C Gonzalez, Richard E Woods 2nd Edition, Digital Image Processing - Pearson Education 2003. Image Processing Analysis and Machine Vision – Millman Sonka, Vaclav hlavac, Roger Boyle, Broos/colic."
CSC484,Title,CSC 484 – Information Retrieval (3-0-1)
CSC484,Course Description,"This course is intended to prepare students to understand the underlying theories and methods for searching and retrieval of text and bibliographic information, analysis of relevance, utility, statistical and linguistic methods for automatic indexing, query formulation, output ranking, filtering methods, measures of retrieval effectiveness and retrieval experimentation Methodology."
CSC484,Prerequisite,CSC 383 - Advanced Database Systems.
CSC484,Textbook,"Ricardo B. , Berthier R. : “Modern Information Retrieval” Addison Wesley."
CSC493,Title,CSC 493 – Selected Topics in Computer Science (3-0-1)
CSC493,Course Description,"This course aims at introducing the students to a different area of Computer Science. This will be achieved by exposing them to new tools, techniques, and research in Computer Science."
CSC493,Prerequisite,Student must finish 100 Credit Hours.
CSC493,Textbook,Journals and Magazines relevant to the topics covered.
ENGLISH100,Title,English 100
ARB100,Title,Arabic 100
MATH101,Title,Math 101 - Derivative Math
CHEM101,Title,Chemistry 101 - Intro To Chemistry
STAT101,Title,Statistics 101
TECH101,Title,Tech 140 - Computer Skills
ENTREPRENEUR101,Title,Entrepreneurship 101
FAJAB101,Title,Fajab 101 - Health and Stuff
NAHAJ101,Title,Nahaj 101 - University Skills
ENGLISH110,Title,English 110
